Name	Description	ARN	Region	Type	RequesterPays	Documentation	Contact	ManagedBy	UpdateFrequency	License	Tags
Amazonia EO satellite on AWS - Amazonia 1 imagery (COG files)	Amazonia 1 imagery (COG files)	arn:aws:s3:::amazonia-pds	us-east-1	S3 Bucket	False	http://www.inpe.br/amazonia1	https://lists.osgeo.org/mailman/listinfo/cbers-pds	[AMS Kepler](https://amskepler.com/)	Daily	https://creativecommons.org/licenses/by-sa/3.0/	['aws-pds', 'agriculture', 'earth observation', 'geospatial', 'imaging', 'satellite imagery', 'sustainability', 'disaster response', 'stac', 'cog']
Analysis Ready Sentinel-1 Backscatter Imagery - Sentinel-1 RTC tiled data and metadata in a S3 bucket	Sentinel-1 RTC tiled data and metadata in a S3 bucket	arn:aws:s3:::sentinel-s1-rtc-indigo	us-west-2	S3 Bucket		https://sentinel-s1-rtc-indigo-docs.s3-us-west-2.amazonaws.com/index.html	For questions regarding data methodology or delivery, contact sentinel1@indigoag	[Indigo Ag, Inc.](https://www.indigoag.com/)	Data are updated on a daily cadence for the dataset's spatial domain (CONUS).	The use of these data fall under the terms and conditions of the [Indigo Atlas S	['agriculture', 'aws-pds', 'disaster response', 'earth observation', 'environmental', 'geospatial', 'satellite imagery', 'sustainability', 'cog', 'stac', 'synthetic aperture radar']
ArcticDEM - ArcticDEM DEM Mosaics	ArcticDEM DEM Mosaics	arn:aws:s3:::pgc-opendata-dems/arcticdem/mosaics/	us-west-2	S3 Bucket		https://www.pgc.umn.edu/data/arcticdem/	pgc-support@umn.edu	[Polar Geospatial Center](http://www.pgc.umn.edu/)	New DEM strips are added twice yearly.  Mosaic products are added as soon as the	[Creative Commons Attribution 4.0 International (CC BY 4.0)](https://creativecom	['aws-pds', 'elevation', 'earth observation', 'geospatial', 'mapping', 'open source software', 'satellite imagery', 'cog', 'stac']
ArcticDEM - ArcticDEM DEM Strips	ArcticDEM DEM Strips	arn:aws:s3:::pgc-opendata-dems/arcticdem/strips/	us-west-2	S3 Bucket		https://www.pgc.umn.edu/data/arcticdem/	pgc-support@umn.edu	[Polar Geospatial Center](http://www.pgc.umn.edu/)	New DEM strips are added twice yearly.  Mosaic products are added as soon as the	[Creative Commons Attribution 4.0 International (CC BY 4.0)](https://creativecom	['aws-pds', 'elevation', 'earth observation', 'geospatial', 'mapping', 'open source software', 'satellite imagery', 'cog', 'stac']
Atmospheric Models from Météo-France	Atmospheric Models from Météo-France	arn:aws:s3:::mf-nwp-models	eu-west-1	S3 Bucket		https://mf-models-on-aws.org	contact@openmeteodata.com	[OpenMeteoData](https://openmeteodata.com)	Every 6 hours	https://mf-models-on-aws.org/en/doc/license	['aws-pds', 'agriculture', 'climate', 'disaster response', 'earth observation', 'environmental', 'meteorological', 'model', 'weather']
CBERS on AWS - CBERS imagery (COG files, Requester Pays Bucket)	CBERS imagery (COG files, Requester Pays Bucket)	arn:aws:s3:::cbers-pds	us-east-1	S3 Bucket	True	https://github.com/fredliporace/cbers-on-aws	https://lists.osgeo.org/mailman/listinfo/cbers-pds	[AMS Kepler](https://amskepler.com/)	Daily	https://creativecommons.org/licenses/by-sa/3.0/	['aws-pds', 'agriculture', 'earth observation', 'geospatial', 'imaging', 'satellite imagery', 'sustainability', 'disaster response', 'stac', 'cog']
CMAS Data Warehouse - AMET Data	AMET Data	arn:aws:s3:::cmas-amet	us-east-1	S3 Bucket		https://dataverse.unc.edu/dataverse/cmascenter	cmas@unc.edu	[CMAS CENTER](https://cmascenter.org/)	New data is added as soon as it is available.	There are no restrictions on the use of this data. US EPA License (https://paste	['aws-pds', 'air quality', 'meteorological', 'geospatial', 'environmental', 'sustainability', 'climate']
CMAS Data Warehouse - CMAQ 2016 Modeling Platform	CMAQ 2016 Modeling Platform	arn:aws:s3:::cmas-cmaq-modeling-platform-2016	us-east-1	S3 Bucket		https://dataverse.unc.edu/dataverse/cmascenter	cmas@unc.edu	[CMAS CENTER](https://cmascenter.org/)	New data is added as soon as it is available.	There are no restrictions on the use of this data. US EPA License (https://paste	['aws-pds', 'air quality', 'meteorological', 'geospatial', 'environmental', 'sustainability', 'climate']
CMAS Data Warehouse - CMAQ CONUS-2 Benchmark Data	CMAQ CONUS-2 Benchmark Data	arn:aws:s3:::cmas-cmaq-conus2-benchmark	us-east-1	S3 Bucket		https://dataverse.unc.edu/dataverse/cmascenter	cmas@unc.edu	[CMAS CENTER](https://cmascenter.org/)	New data is added as soon as it is available.	There are no restrictions on the use of this data. US EPA License (https://paste	['aws-pds', 'air quality', 'meteorological', 'geospatial', 'environmental', 'sustainability', 'climate']
CMAS Data Warehouse - CMAQ Data	CMAQ Data	arn:aws:s3:::cmas-cmaq	us-east-1	S3 Bucket		https://dataverse.unc.edu/dataverse/cmascenter	cmas@unc.edu	[CMAS CENTER](https://cmascenter.org/)	New data is added as soon as it is available.	There are no restrictions on the use of this data. US EPA License (https://paste	['aws-pds', 'air quality', 'meteorological', 'geospatial', 'environmental', 'sustainability', 'climate']
